,budget,revenue,id,original_title,title
0,30000000,373554033.0,862,Toy Story,Toy Story
1,65000000,262797249.0,8844,Jumanji,Jumanji
2,0,0.0,15602,Grumpier Old Men,Grumpier Old Men
3,16000000,81452156.0,31357,Waiting to Exhale,Waiting to Exhale
4,0,76578911.0,11862,Father of the Bride Part II,Father of the Bride Part II
5,60000000,187436818.0,949,Heat,Heat
6,58000000,0.0,11860,Sabrina,Sabrina
7,0,0.0,45325,Tom and Huck,Tom and Huck
8,35000000,64350171.0,9091,Sudden Death,Sudden Death
9,58000000,352194034.0,710,GoldenEye,GoldenEye
10,62000000,107879496.0,9087,The American President,The American President
11,0,0.0,12110,Dracula: Dead and Loving It,Dracula: Dead and Loving It
12,0,11348324.0,21032,Balto,Balto
13,44000000,13681765.0,10858,Nixon,Nixon
14,98000000,10017322.0,1408,Cutthroat Island,Cutthroat Island
15,52000000,116112375.0,524,Casino,Casino
16,16500000,135000000.0,4584,Sense and Sensibility,Sense and Sensibility
17,4000000,4300000.0,5,Four Rooms,Four Rooms
18,30000000,212385533.0,9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls
19,60000000,35431113.0,11517,Money Train,Money Train
20,30250000,115101622.0,8012,Get Shorty,Get Shorty
21,0,0.0,1710,Copycat,Copycat
22,50000000,30303072.0,9691,Assassins,Assassins
23,0,0.0,12665,Powder,Powder
24,3600000,49800000.0,451,Leaving Las Vegas,Leaving Las Vegas
25,0,0.0,16420,Othello,Othello
26,12000000,27400000.0,9263,Now and Then,Now and Then
27,0,0.0,17015,Persuasion,Persuasion
28,18000000,1738611.0,902,La Cité des Enfants Perdus,The City of Lost Children
29,0,0.0,37557,摇啊摇，摇到外婆桥,Shanghai Triad
30,0,180000000.0,9909,Dangerous Minds,Dangerous Minds
31,29500000,168840000.0,63,Twelve Monkeys,Twelve Monkeys
32,0,0.0,78802,"Guillaumet, les ailes du courage",Wings of Courage
33,30000000,254134910.0,9598,Babe,Babe
34,0,0.0,47018,Carrington,Carrington
35,11000000,39363635.0,687,Dead Man Walking,Dead Man Walking
36,0,0.0,139405,Across the Sea of Time,Across the Sea of Time
37,0,0.0,33689,It Takes Two,It Takes Two
38,12000000,0.0,9603,Clueless,Clueless
39,0,676525.0,34615,"Cry, the Beloved Country","Cry, the Beloved Country"
40,0,0.0,31174,Richard III,Richard III
41,10000000,0.0,11443,Dead Presidents,Dead Presidents
42,19000000,0.0,35196,Restoration,Restoration
43,18000000,122195920.0,9312,Mortal Kombat,Mortal Kombat
44,20000000,21284514.0,577,To Die For,To Die For
45,10000000,23574130.0,11861,How To Make An American Quilt,How To Make An American Quilt
46,33000000,327311859.0,807,Se7en,Se7en
47,55000000,346079773.0,10530,Pocahontas,Pocahontas
48,0,0.0,8391,When Night Is Falling,When Night Is Falling
49,6000000,23341568.0,629,The Usual Suspects,The Usual Suspects
50,0,0.0,117164,Guardian Angel,Guardian Angel
51,15000000,6700000.0,11448,Mighty Aphrodite,Mighty Aphrodite
52,0,0.0,49133,Lamerica,Lamerica
53,0,0.0,26441,The Big Green,The Big Green
54,0,0.0,97406,Georgia,Georgia
55,0,0.0,124057,Kids of the Round Table,Kids of the Round Table
56,0,17519169.0,9089,Home for the Holidays,Home for the Holidays
57,0,0.0,11010,Il postino,The Postman
58,0,0.0,99040,Le confessionnal,The Confessional
59,45000000,0.0,11359,The Indian in the Cupboard,The Indian in the Cupboard
60,20000000,0.0,17182,Eye for an Eye,Eye for an Eye
61,0,106269971.0,2054,Mr. Holland's Opus,Mr. Holland's Opus
62,0,0.0,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
63,0,0.0,19760,Two If by Sea,Two If by Sea
64,15000000,0.0,9536,Bio-Dome,Bio-Dome
65,0,2409225.0,11525,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace
66,0,0.0,40628,Two Bits,Two Bits
67,0,0.0,4482,Gazon maudit,French Twist
68,3500000,28215918.0,10634,Friday,Friday
69,19000000,25836616.0,755,From Dusk Till Dawn,From Dusk Till Dawn
70,50000000,11534477.0,11859,Fair Game,Fair Game
71,0,718490.0,28387,Kicking and Screaming,Kicking and Screaming
72,0,0.0,48750,Les misérables,Les Miserables
73,0,19030691.0,20927,Bed of Roses,Bed of Roses
74,15000000,2042530.0,36929,Big Bully,Big Bully
75,20000000,5781885.0,9102,Screamers,Screamers
76,0,0.0,124626,Nico Icon,Nico Icon
77,0,0.0,27526,The Crossing Guard,The Crossing Guard
78,44000000,0.0,9623,The Juror,The Juror
79,0,0.0,46785,بادکنک سفید,The White Balloon
80,8000000,529766.0,400,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead
81,900000,0.0,880,Antonia,Antonia's Line
82,0,0.0,146599,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored
83,0,0.0,188588,Last Summer in the Hamptons,Last Summer in the Hamptons
84,0,0.0,8447,Angels and Insects,Angels and Insects
85,38000000,10300000.0,10534,White Squall,White Squall
86,16000000,0.0,17414,Dunston Checks In,Dunston Checks In
87,0,32.0,13997,Black Sheep,Black Sheep
88,8169363,8175346.0,2086,Nick of Time,Nick of Time
89,0,0.0,61548,The Journey of August King,The Journey of August King
90,47000000,12379402.0,9095,Mary Reilly,Mary Reilly
91,14000000,19800000.0,12158,Vampire in Brooklyn,Vampire in Brooklyn
92,0,0.0,9283,Beautiful Girls,Beautiful Girls
93,50000000,150270147.0,9208,Broken Arrow,Broken Arrow
94,0,0.0,40154,A Midwinter's Tale,A Midwinter's Tale
95,3000000,0.0,406,La Haine,La Haine
96,0,0.0,45549,Shopping,Shopping
97,0,0.0,63076,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam
98,0,0.0,11062,City Hall,City Hall
99,7000000,560069.0,13685,Bottle Rocket,Bottle Rocket
100,0,0.0,47475,Mr. Wrong,Mr. Wrong
101,18000000,0.0,2045,Unforgettable,Unforgettable
102,12000000,41205099.0,9614,Happy Gilmore,Happy Gilmore
103,24000000,182016617.0,688,The Bridges of Madison County,The Bridges of Madison County
104,0,0.0,11907,Keiner liebt mich,Nobody Loves Me
105,0,34327391.0,10874,Muppet Treasure Island,Muppet Treasure Island
106,0,0.0,89333,Catwalk,Catwalk
107,0,0.0,96357,Headless Body in Topless Bar,Headless Body in Topless Bar
108,72000000,210000000.0,197,Braveheart,Braveheart
109,1300000,28262574.0,103,Taxi Driver,Taxi Driver
110,7500000,32392047.0,33542,紅番區,Rumble in the Bronx
111,35000000,0.0,43566,Before and After,Before and After
112,0,0.0,71754,Margaret's Museum,Margaret's Museum
113,13365000,0.0,43612,Le Bonheur est dans le pré,Happiness Is in the Field
114,0,1.0,51352,Anne Frank Remembered,Anne Frank Remembered
115,0,0.0,16934,The Young Poisoner's Handbook,The Young Poisoner's Handbook
116,0,0.0,10324,If Lucy Fell,If Lucy Fell
117,25000000,6278139.0,78406,Steal Big Steal Little,Steal Big Steal Little
118,0,0.0,55731,Race the Sun,Race the Sun
119,0,0.0,32119,The Boys of St. Vincent,The Boys of St. Vincent
120,40000000,70100000.0,11066,Boomerang,Boomerang
121,0,0.0,11104,重慶森林,Chungking Express
122,0,0.0,37975,L'uomo delle stelle,The Star Maker
123,7000000,14702438.0,2074,Flirting with Disaster,Flirting with Disaster
124,17000000,0.0,27793,The NeverEnding Story III,The Neverending Story III: Escape from Fantasia
125,0,0.0,44284,صمت القصور,The Silences of the Palace
126,0,0.0,290157,Jupiter's Wife,Jupiter's Wife
127,0,0.0,110972,Pie in the Sky,Pie in the Sky
128,0,0.0,32622,Angela,Angela
129,0,0.0,73067,Frankie Starlight,Frankie Starlight
130,50000000,9851610.0,11863,Jade,Jade
131,0,0.0,55475,Nueba Yol,Nueba Yol
132,0,0.0,124636,Sonic Outlaws,Sonic Outlaws
133,0,0.0,9101,Down Periscope,Down Periscope
134,0,0.0,123360,From the Journals of Jean Seberg,From the Journals of Jean Seberg
135,0,209935.0,5757,Man of the Year,Man of the Year
136,0,0.0,39428,The Neon Bible,The Neon Bible
137,0,0.0,124639,Target,Target
138,60000000,0.0,9302,Up Close & Personal,Up Close & Personal
139,31000000,185260553.0,11000,The Birdcage,The Birdcage
140,0,0.0,249882,Gospa,Virgin Mary
141,0,0.0,16388,The Brothers McMullen,The Brothers McMullen
142,19000000,141407024.0,9737,Bad Boys,Bad Boys
143,0,0.0,30765,The Amazing Panda Adventure,The Amazing Panda Adventure
144,0,0.0,10474,The Basketball Diaries,The Basketball Diaries
145,4000000,851545.0,22279,An Awfully Big Adventure,An Awfully Big Adventure
146,0,0.0,30157,Amateur,Amateur
147,52000000,355237933.0,568,Apollo 13,Apollo 13
148,28000000,31596911.0,11780,Rob Roy,Rob Roy
149,0,0.0,34996,The Addiction,The Addiction
150,100000000,336529144.0,414,Batman Forever,Batman Forever
151,0,0.0,649,Belle de jour,Belle de Jour
152,0,0.0,1873,Beyond Rangoon,Beyond Rangoon
153,2000000,1275000.0,5894,Blue in the Face,Blue in the Face
154,11000000,178104.0,1775,Canadian Bacon,Canadian Bacon
155,50000000,287928194.0,8839,Casper,Casper
156,25000000,13071518.0,20649,Clockers,Clockers
157,50000000,152022101.0,10329,Congo,Congo
158,53000000,157387195.0,8963,Crimson Tide,Crimson Tide
159,0,3174695.0,26564,Crumb,Crumb
160,7000000,25405445.0,8068,Desperado,Desperado
161,27000000,16140822.0,8512,Devil in a Blue Dress,Devil in a Blue Dress
162,90000000,366101666.0,1572,Die Hard: With a Vengeance,Die Hard: With a Vengeance
163,0,0.0,13552,The Doom Generation,The Doom Generation
164,0,0.0,259209,Feast of July,Feast of July
165,55000000,127600435.0,6520,First Knight,First Knight
166,0,0.0,9073,Free Willy 2 - The Adventure Home,Free Willy 2 - The Adventure Home
167,20000000,7563728.0,10428,Hackers,Hackers
168,0,0.0,17447,Jeffrey,Jeffrey
169,25000000,19075720.0,9886,Johnny Mnemonic,Johnny Mnemonic
170,90000000,113493481.0,9482,Judge Dredd,Judge Dredd
171,0,17014653.0,19326,Jury Duty,Jury Duty
172,1500000,7412216.0,9344,Kids,Kids
173,500000,1148752.0,9071,Living in Oblivion,Living in Oblivion
174,0,0.0,8973,Lord of Illusions,Lord of Illusions
175,0,0.0,15730,Love & Human Remains,Love & Human Remains
176,0,15453274.0,47608,Mad Love,Mad Love
177,6000000,2122561.0,2293,Mallrats,Mallrats
178,15000000,66000000.0,9070,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie
179,0,0.0,68274,Moonlight and Valentino,Moonlight and Valentino
180,2,1.0,48787,Mute Witness,Mute Witness
181,0,0.0,34574,Nadja,Nadja
182,22000000,110627965.0,1642,The Net,The Net
183,0,69660733.0,11472,Nine Months,Nine Months
184,150000,472370.0,36196,Party Girl,Party Girl
185,8,16.0,11980,The Prophecy,The Prophecy
186,0,0.0,58372,Reckless,Reckless
