budget,revenue,id,original_title,title
30000000,373554033.0,862,Toy Story,Toy Story
65000000,262797249.0,8844,Jumanji,Jumanji
0,0.0,15602,Grumpier Old Men,Grumpier Old Men
16000000,81452156.0,31357,Waiting to Exhale,Waiting to Exhale
0,76578911.0,11862,Father of the Bride Part II,Father of the Bride Part II
60000000,187436818.0,949,Heat,Heat
58000000,0.0,11860,Sabrina,Sabrina
0,0.0,45325,Tom and Huck,Tom and Huck
35000000,64350171.0,9091,Sudden Death,Sudden Death
58000000,352194034.0,710,GoldenEye,GoldenEye
62000000,107879496.0,9087,The American President,The American President
0,0.0,12110,Dracula: Dead and Loving It,Dracula: Dead and Loving It
0,11348324.0,21032,Balto,Balto
44000000,13681765.0,10858,Nixon,Nixon
98000000,10017322.0,1408,Cutthroat Island,Cutthroat Island
52000000,116112375.0,524,Casino,Casino
16500000,135000000.0,4584,Sense and Sensibility,Sense and Sensibility
4000000,4300000.0,5,Four Rooms,Four Rooms
30000000,212385533.0,9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls
60000000,35431113.0,11517,Money Train,Money Train
30250000,115101622.0,8012,Get Shorty,Get Shorty
0,0.0,1710,Copycat,Copycat
50000000,30303072.0,9691,Assassins,Assassins
0,0.0,12665,Powder,Powder
3600000,49800000.0,451,Leaving Las Vegas,Leaving Las Vegas
0,0.0,16420,Othello,Othello
12000000,27400000.0,9263,Now and Then,Now and Then
0,0.0,17015,Persuasion,Persuasion
18000000,1738611.0,902,La Cité des Enfants Perdus,The City of Lost Children
0,0.0,37557,摇啊摇，摇到外婆桥,Shanghai Triad
0,180000000.0,9909,Dangerous Minds,Dangerous Minds
29500000,168840000.0,63,Twelve Monkeys,Twelve Monkeys
0,0.0,78802,"Guillaumet, les ailes du courage",Wings of Courage
30000000,254134910.0,9598,Babe,Babe
0,0.0,47018,Carrington,Carrington
11000000,39363635.0,687,Dead Man Walking,Dead Man Walking
0,0.0,139405,Across the Sea of Time,Across the Sea of Time
0,0.0,33689,It Takes Two,It Takes Two
12000000,0.0,9603,Clueless,Clueless
0,676525.0,34615,"Cry, the Beloved Country","Cry, the Beloved Country"
0,0.0,31174,Richard III,Richard III
10000000,0.0,11443,Dead Presidents,Dead Presidents
19000000,0.0,35196,Restoration,Restoration
18000000,122195920.0,9312,Mortal Kombat,Mortal Kombat
20000000,21284514.0,577,To Die For,To Die For
10000000,23574130.0,11861,How To Make An American Quilt,How To Make An American Quilt
33000000,327311859.0,807,Se7en,Se7en
55000000,346079773.0,10530,Pocahontas,Pocahontas
0,0.0,8391,When Night Is Falling,When Night Is Falling
6000000,23341568.0,629,The Usual Suspects,The Usual Suspects
0,0.0,117164,Guardian Angel,Guardian Angel
15000000,6700000.0,11448,Mighty Aphrodite,Mighty Aphrodite
0,0.0,49133,Lamerica,Lamerica
0,0.0,26441,The Big Green,The Big Green
0,0.0,97406,Georgia,Georgia
0,0.0,124057,Kids of the Round Table,Kids of the Round Table
0,17519169.0,9089,Home for the Holidays,Home for the Holidays
0,0.0,11010,Il postino,The Postman
0,0.0,99040,Le confessionnal,The Confessional
45000000,0.0,11359,The Indian in the Cupboard,The Indian in the Cupboard
20000000,0.0,17182,Eye for an Eye,Eye for an Eye
0,106269971.0,2054,Mr. Holland's Opus,Mr. Holland's Opus
0,0.0,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
0,0.0,19760,Two If by Sea,Two If by Sea
15000000,0.0,9536,Bio-Dome,Bio-Dome
0,2409225.0,11525,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace
0,0.0,40628,Two Bits,Two Bits
0,0.0,4482,Gazon maudit,French Twist
3500000,28215918.0,10634,Friday,Friday
19000000,25836616.0,755,From Dusk Till Dawn,From Dusk Till Dawn
50000000,11534477.0,11859,Fair Game,Fair Game
0,718490.0,28387,Kicking and Screaming,Kicking and Screaming
0,0.0,48750,Les misérables,Les Miserables
0,19030691.0,20927,Bed of Roses,Bed of Roses
15000000,2042530.0,36929,Big Bully,Big Bully
20000000,5781885.0,9102,Screamers,Screamers
0,0.0,124626,Nico Icon,Nico Icon
0,0.0,27526,The Crossing Guard,The Crossing Guard
44000000,0.0,9623,The Juror,The Juror
0,0.0,46785,بادکنک سفید,The White Balloon
8000000,529766.0,400,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead
900000,0.0,880,Antonia,Antonia's Line
