movie_id,Writer
862,Joss Whedon
862,Andrew Stanton
862,Joel Cohen
862,Alec Sokolow
862,John Lasseter
862,Pete Docter
862,Joe Ranft
862,Andrew Stanton
8844,Jonathan Hensleigh
8844,Chris van Allsburg
8844,Greg Taylor
8844,Jim Strain
15602,Mark Steven Johnson
15602,Mark Steven Johnson
31357,Ronald Bass
31357,Terry McMillan
31357,Terry McMillan
11862,Nancy Meyers
11862,Albert Hackett
949,Michael Mann
11860,Barbara Benedek
11860,David Rayfiel
45325,David Loughery
45325,Stephen Sommers
45325,Mark Twain
9091,Karen Elise Baldwin
9091,Gene Quintano
710,Ian Fleming
710,Jeffrey Caine
710,Bruce Feirstein
710,Michael France
9087,Aaron Sorkin
12110,Mel Brooks
12110,Rudy De Luca
12110,Steve Haberman
21032,Roger S.H. Schulman
21032,Elana Lesser
21032,Cliff Ruby
21032,David Steven Cohen
10858,Oliver Stone
10858,Stephen J. Rivele
1408,James Gorman
1408,Michael Frost Beckner
1408,Marc Norman
1408,Robert King
524,Martin Scorsese
524,Nicholas Pileggi
524,Nicholas Pileggi
4584,Jane Austen
4584,Emma Thompson
5,Allison Anders
5,Alexandre Rockwell
5,Robert Rodriguez
5,Quentin Tarantino
9273,Jack Bernstein
9273,Steve Oedekerk
11517,Doug Richardson
8012,Elmore Leonard
8012,Scott Frank
1710,David Madsen
1710,Ann Biderman
9691,Lilly Wachowski
9691,Lana Wachowski
9691,Lilly Wachowski
9691,Lana Wachowski
9691,Brian Helgeland
12665,Victor Salva
451,Mike Figgis
451,John O'Brien
16420,William Shakespeare
16420,Oliver Parker
9263,I. Marlene King
17015,Jane Austen
17015,Nick Dear
17015,Catherine Wearing
902,Jean-Pierre Jeunet
902,Marc Caro
902,Gilles Adrien
37557,Bi Feiyu
37557,Li Xiao
9909,Ronald Bass
9909,LouAnne Johnson
63,David Webb Peoples
63,Janet Peoples
78802,Alain Godard
78802,Jean-Jacques Annaud
9598,George Miller
9598,Dick King-Smith
9598,Chris Noonan
47018,Christopher Hampton
47018,Michael Holroyd
687,Tim Robbins
687,Helen Prejean
687,Brick Mason
139405,Andrew Gellis
33689,Deborah Dean Davis
9603,Amy Heckerling
34615,Ronald Harwood
34615,Alan Paton
34615,Joshua Sinclair
31174,William Shakespeare
31174,Ian McKellen
31174,Richard Loncraine
11443,Michael Henry Brown
35196,Rose Termain
35196,Rupert Walters
9312,Ed Boon
9312,John Tobias
9312,Kevin Droney
577,Joyce Maynard
577,Buck Henry
11861,Jane Anderson
11861,Whitney Otto
807,Andrew Kevin Walker
10530,Susannah Grant
10530,Philip LaZebnik
10530,Chris Buck
10530,Carl Binder
8391,Patricia Rozema
629,Christopher McQuarrie
629,John Coven
117164,N/A
117164,N/A
117164,N/A
117164,N/A
117164,N/A
117164,N/A
117164,N/A
11448,Woody Allen
49133,Gianni Amelio
49133,Andrea Porporati
49133,Alessandro Sermoneta
26441,Holly Goldberg Sloan
97406,Barbara Turner
124057,David Sherman
124057,Robert Tinnell
9089,Chris Radant
9089,W.D. Richter
11010,Antonio Skármeta
11010,Furio Scarpelli
11010,Giacomo Scarpelli
99040,Robert Lepage
11359,Melissa Mathison
17182,Erika Holzer
17182,Amanda Silver
17182,Rick Jaffa
2054,Patrick Sheane Duncan
10607,Shawn Wayans
10607,Marlon Wayans
10607,Phil Beauman
19760,Denis Leary
19760,Mike Armstrong
9536,Adam Leff
9536,Mitchell Peck
11525,Farhad Mann
11525,Stephen King
40628,Joseph Stefano
4482,Josiane Balasko
4482,Patrick Aubrée
4482,Telsche Boorman
10634,DJ Pooh
10634,Ice Cube
755,Quentin Tarantino
755,Robert Kurtzman
11859,Charlie Fletcher
11859,Paula Gosling
28387,Noah Baumbach
28387,Noah Baumbach
28387,Oliver Berkman
48750,Victor Hugo
48750,Claude Lelouch
20927,Michael Goldenberg
20927,Brick Mason
36929,Mark Steven Johnson
9102,Philip K. Dick
9102,Dan O'Bannon
9102,Miguel Tejada-Flores
27526,Sean Penn
9623,George Dawes Green
9623,Ted Tally
46785,Abbas Kiarostami
400,Scott Rosenberg
880,Marleen Gorris
146599,Paul W. Cooper
146599,Clifton L. Taulbert
188588,N/A
188588,N/A
188588,N/A
188588,N/A
188588,N/A
188588,N/A
188588,N/A
8447,Philip Haas
8447,Belinda Haas
8447,A.S. Byatt
10534,Charles Gieg Jr.
10534,Felix Sutton
10534,Todd Robinson
17414,John Hopkins
17414,John Hopkins
17414,Bruce Graham
13997,Fred Wolf
2086,Patrick Sheane Duncan
61548,John Ehle
9095,Christopher Hampton
9095,Valerie Martin
12158,Charlie Murphy
12158,Michael Lucker
12158,Chris Parker
9283,Scott Rosenberg
9208,Graham Yost
40154,Kenneth Branagh
406,Mathieu Kassovitz
45549,Paul W.S. Anderson
11062,Ken Lipper
13685,Wes Anderson
13685,Owen Wilson
13685,Wes Anderson
13685,Owen Wilson
47475,N/A
47475,N/A
47475,N/A
47475,N/A
47475,N/A
47475,N/A
47475,N/A
2045,Bill Geddie
9614,Tim Herlihy
9614,Adam Sandler
688,Richard LaGravenese
688,Robert James Waller
11907,Doris Dörrie
10874,Jerry Juhl
10874,Robert Louis Stevenson
96357,Peter Koper
197,Randall Wallace
197,Randall Wallace
103,Paul Schrader
33542,Edward Tang
33542,Fibe Ma
43566,Ted Tally
71754,Mort Ransen
71754,Gerald Wexler
43612,Florence Quentin
51352,N/A
51352,N/A
51352,N/A
51352,N/A
51352,N/A
51352,N/A
51352,N/A
16934,Benjamin Ross
16934,Jeff Rawle
10324,Eric Schaeffer
78406,Andrew Davis
78406,Lee Blessing
78406,Jeanne Blake
78406,Terry Kahn
55731,Barry Morrow
32119,N/A
32119,N/A
32119,N/A
32119,N/A
32119,N/A
32119,N/A
32119,N/A
11066,Barry W. Blaustein
11104,Wong Kar-wai
37975,Giuseppe Tornatore
2074,David O. Russell
27793,Karin Howard
27793,Jeff Lieberman
27793,Michael Ende
44284,Moufida Tlatli
44284,Nouri Bouzid
290157,Michel Negroponte
110972,Bryan Gordon
32622,Rebecca Miller
73067,Ronan O'Leary
73067,Chet Raymo
73067,Chet Raymo
11863,Joe Eszterhas
55475,Ángel Muñiz
9101,Hugh Wilson
9101,Andrew Kurtzman
9101,Eliot Wald
123360,Mark Rappaport
5757,Dirk Shafer
39428,Terence Davies
124639,N/A
124639,N/A
124639,N/A
124639,N/A
124639,N/A
124639,N/A
124639,N/A
9302,Joan Didion
9302,John Gregory Dunne
11000,Elaine May
249882,Barry Morrow
249882,Ivan Aralica
249882,Paul Gronseth
16388,Edward Burns
9737,Doug Richardson
9737,George Gallo
9737,Michael Barrie
9737,Jim Mulholland
30765,Jeff Rothberg
30765,Laurice Elehwany
10474,Jim Carroll
10474,Bryan Goluboff
22279,Charles Wood
22279,Beryl Bainbridge
30157,Hal Hartley
568,William Broyles Jr.
568,Al Reinert
568,Jeffrey Kluger
568,Jim Lovell
568,Ricardo F. Delgado
11780,Alan Sharp
34996,Nicholas St. John
414,Bob Kane
414,Lee Batchler
414,Janet Scott Batchler
414,Akiva Goldsman
414,Chris Buchinsky
649,Luis Buñuel
649,Jean-Claude Carrière
649,Joseph Kessel
1873,Alex Lasker
1873,Bill Rubenstein
5894,Paul Auster
5894,Wayne Wang
5894,Paul Auster
1775,Michael Moore
8839,Sherri Stoner
8839,Deanna Oliver
20649,Spike Lee
20649,Richard Price
10329,Michael Crichton
10329,John Patrick Shanley
8963,Michael Schiffer
8963,Richard P. Henrick
8963,Michael Schiffer
26564,Terry Zwigoff
8068,Robert Rodriguez
8512,Carl Franklin
8512,Walter Mosley
1572,Jonathan Hensleigh
1572,Roderick Thorp
13552,Gregg Araki
259209,H.E. Bates
259209,Christopher Neame
6520,Lorne Cameron
6520,David Hoselton
6520,William Nicholson
6520,William Nicholson
9073,Karen Janszen
9073,Corey Blechman
9073,John Mattson
10428,Rafael Moreu
17447,Paul Rudnick
9886,William Gibson
9482,John Wagner
9482,Carlos Ezquerra
9482,William Wisher Jr.
9482,Steven E. de Souza
9482,Michael De Luca
9482,William Wisher Jr.
19326,Neil Tolkin
19326,Barbara Williams
19326,Samantha Adams
9344,Harmony Korine
9071,Tom DiCillo
8973,Clive Barker
8973,Clive Barker
15730,Brad Fraser
47608,Paula Milne
2293,Kevin Smith
9070,John Kamps
9070,Arne Olsen
68274,Ellen Simon
68274,Ellen Simon
48787,Anthony Waller
34574,Michael Almereyda
1642,John D. Brancato
1642,Michael Ferris
11472,Chris Columbus
36196,Harry Birckmayer
36196,Harry Birckmayer
36196,Daisy von Scherler Mayer
36196,Daisy von Scherler Mayer
36196,Sheila Gaffney
11980,Gregory Widen
58372,Craig Lucas
32646,Todd Haynes
10533,Nathaniel Hawthorne
10533,Douglas Day Stewart
56088,N/A
10802,Joe Eszterhas
10149,Paul Auster
18402,Callie Khouri
9348,Dennis Feldman
139408,Philip Railsback
281,James Cameron
281,Jay Cocks
5967,Jacques Demy
79593,Michael Auerbach
47939,Clifford Green
47939,Ellen Greene
47939,Elizabeth Anderson
36834,Christopher Hampton
9090,Douglas Carter Beane
3512,J. F. Lawton
3512,Richard Hatem
3512,Matt Reeves
52856,Richard LaGravenese
77350,N/A
77350,N/A
77350,N/A
77350,N/A
77350,N/A
77350,N/A
77350,N/A
9560,Robert Mark Kamen
9560,Mark Miller
9560,Harvey Weitzman
9560,Piero Tellini
9560,Cesare Zavattini
9804,Peter Rader
9804,David Twohy
31611,Desmond Nakano
65796,Walter Hill
49805,Terence Rattigan
49805,Ronald Harwood
26258,Danny Byers
26258,John Jordan
26258,Tommy Swerdlow
26258,Michael Goldberg
50797,Rustam Ibragimbekov
50797,Nikita Mikhalkov
19155,Milčo Mančevski
76,Richard Linklater
76,Kim Krizan
11017,Tim Herlihy
11017,Adam Sandler
37141,Guy Ferland
37141,Robert Coover
9382,Don Roos
6715,Robert Kuhn
18256,Stuart Gordon
18256,Dennis Paoli
18256,Dennis Paoli
18256,H.P. Lovecraft
22625,Maeve Binchy
22625,Andrew Davies
2292,Kevin Smith
1909,Jeremy Leven
8984,Paul Attanasio
61813,Michael Alexander Miller
4954,Guy Manos
4954,Peter Barsocchini
4954,Peter Barsocchini
4954,John Bishop
4954,Tony Griffin
62488,Robert Ramsey
62488,Matthew Stone
10531,Ariel Dorfman
10531,Rafael Yglesias
10531,Ariel Dorfman
11929,Stephen King
11929,Tony Gilroy
8467,Peter Farrelly
8467,Bobby Farrelly
8467,Bennett Yellin
8467,Kevin Farrell
10451,Ang Lee
10451,James Schamus
10451,Wang Hui-Ling
20156,Atom Egoyan
18395,Anne Rice
18395,Deborah Amelon
18395,Bob Brunner
522,Rudolph Grey
522,Scott Alexander
522,Larry Karaszewski
397,Adam Brooks
10525,Billy Crystal
10525,Lowell Ganz
10525,Babaloo Mandel
27985,Phillip Borsos
15789,Chris Matheson
15789,Brian Pimental
15789,Jymn Magon
15789,Frans Vischer
27303,Dean R. Koontz
27303,Andrew Kevin Walker
21183,Carlo Carlei
21183,James Herbert
21183,James Carrington
10954,Marcel Beaulieu
47867,N/A
47867,N/A
47867,N/A
47867,N/A
47867,N/A
47867,N/A
47867,N/A
43475,N/A
43475,N/A
43475,N/A
43475,N/A
43475,N/A
43475,N/A
43475,N/A
72031,Charles Burnett
72031,Ned Welsh
72031,John Eddie Johnson
14275,Steve James
14275,Frederick Marx
1024,Peter Jackson
1024,Fran Walsh
17207,N/A
17207,N/A
17207,N/A
17207,N/A
17207,N/A
17207,N/A
17207,N/A
13701,Bernard Rose
14819,Steven Brill
14819,Judd Apatow
32631,J. F. Lawton
11777,Michael J. Leeson
11777,Andy Breckman
628,Anne Rice
628,Anne Rice
87729,Ruth Prawer Jhabvala
18713,N/A
18713,N/A
